ID_Student,Timestamp,Sentence,Latitude,Longitude
ID629,2024-04-14T11:33:40.975Z,"Qui est partant pour un marathon de films d'horreur ?",,-84.47508719110247,-24.810245670009294
ID204,2024-03-24T23:47:07.861Z,"Tu as des recommandations pour un bon casque audio ?",,76.82224971155668,-121.7745128678978
ID587,2024-03-23T07:58:54.502Z,"Le labo était surbooké, je n'ai pas pu finir mes expériences.",,-53.79022831671467,-100.69231988907002
ID901,2024-03-29T05:39:33.923Z,"Le jardin botanique du campus est en train d'être agrandi.",,-48.52458089204457,-10.378952644172756
ID616,2024-03-12T22:34:20.026Z,"J'ai vu une affiche pour un concert de jazz qui a l'air intéressant.",,-80.80885093453837,-86.27668731825301
ID140,2024-04-23T13:22:29.839Z,"Je n'arrive pas à croire qu'on a encore un examen demain.",,31.41469145496042,37.507060888832
ID561,2024-04-09T23:40:56.532Z,"L'exposition annuelle de science et technologie a attiré de nombreux visiteurs externes.",,-65.14908219409074,5.74037014204788
ID141,2024-04-13T03:07:15.833Z,"Le jardin botanique du campus est en train d'être agrandi.",,32.30738789349512,-32.42371026917641
ID236,2024-04-12T17:00:38.476Z,"Je n'ai pas fini le devoir de thermodynamique, et toi ?",,48.3294207267308,-100.91496540172959
ID613,2024-03-08T06:53:12.308Z,"Tu as une méthode plus simple pour résoudre cette équation ?",,63.57591490780703,33.77695821212629
ID843,2024-04-01T06:20:45.248Z,"Paul a acheté une nouvelle voiture, il l'a montrée hier devant l'université.",,15.797780811881609,-74.75162467876525
ID281,2024-04-07T14:34:26.441Z,"On devrait former un groupe d'étude pour les maths.",,89.20677726695703,70.49632902115832
ID628,2024-03-21T23:00:14.712Z,"Le dernier projet de cours de design a reçu des éloges de plusieurs professeurs.",,-1.4268028866728315,-121.88740136259167
ID773,2024-04-01T12:00:40.119Z,"Est-ce que tu as des recommandations de séries pour apprendre l'espagnol ?",,79.56671003550883,112.48111124061211
ID580,2024-04-22T03:23:11.233Z,"On dit que le chef de département prendra sa retraite à la fin de l'année académique.",,82.6554201571179,-96.73283103324539
ID397,2024-03-13T11:13:33.184Z,"Qui fait de la randonnée ce weekend ? J'aimerais me joindre.",,-5.696003632241272,-21.09912846041439
ID566,2024-03-08T03:43:38.579Z,"La série de conférences sur l'entrepreneuriat a été très inspirante, selon plusieurs participants.",,-63.737535488733265,3.421125710877135
ID567,2024-04-13T09:03:37.004Z,"Qui connaît un bon endroit pour faire du kayak dans le coin ?",,41.41312966550538,-152.0391429555931
ID560,2024-04-11T04:14:21.600Z,"On doit vraiment apprendre tous ces algorithmes par cœur ?",,-27.056267817145475,-128.68211015023178
ID885,2024-04-19T12:03:29.477Z,"Qui est intéressé par un atelier de cuisine ce mois-ci ?",,82.54091765910442,-21.52970893517019
ID445,2024-04-18T04:05:26.236Z,"Le projet est intéressant mais le délai est trop court.",,32.84864876269785,131.55869451403333
ID6,2024-03-22T20:05:13.966Z,"J'aimerais commencer le yoga, tu connais un bon studio ?",,-20.3878143492976,-15.22744711944793
