IOT_ID,Student_ID,Promo,Année,Campus,Latitude,Longitude,Timestamp,Text
22395192,20236189,CSIG,M2,Republique,48.789184466072136,2.363869590077075,1716035103,"Je vais arriver en retard, je suis coincé dans le trafic."
24549945,20224756,DAI,M1,Gorki,48.79024507839408,2.368516476218388,1728388402,"Le séminaire sur les nouvelles technologies a eu un grand succès."
25936656,20232302,CIL,M1,Republique,48.78962901499927,2.3635607816943995,1707032850,"J'ai lu un article intéressant sur les voyages spatiaux. Tu veux que je te l'envoie ?"
28981615,20243205,BIA,M2,Gorki,48.79016803643919,2.3682981467446904,1722488779,"Est-ce que quelqu'un a déjà commencé la rédaction du rapport ?"
22748460,20210483,SRD,M2PRO,Home,48.789600231332905,2.369320326570457,1716817404,"La pelouse me manque."
24485564,20222579,BIA,M2PRO,Gorki,48.79003403353945,2.367914758981324,1725373877,"Je pense que j'ai raté un truc important en séchant le cours."
27758898,20230752,DAI,M2,Republique,48.78883968025621,2.3637500342382443,1719421135,"Tu as déjà essayé le restaurant japonais qui vient d'ouvrir ?"
29824451,20248948,BDML,M2,Home,48.789796583730606,2.3690834992821252,1731689829,"On a prévu une sortie VTT, ça te dit de venir ?"
28353861,20233146,SWI,M1,Republique,48.789725321847136,2.3638827751982032,1717772846,"Qui a des bons plans pour des billets de concert à prix réduit ?"
24105386,20221852,ITF,M2PRO,Home,48.789695685692664,2.3692963368239117,1732802147,"Il paraît que Julie et Marc sortent ensemble, tu savais ?"
25650440,20227764,BIA,M2PRO,Republique,48.79001733471457,2.363705245604703,1728479728,"Tu joues à quel jeu en ce moment ?"
29398420,20247502,BIA,M1,Republique,48.78931539013116,2.363720478271244,1712672739,"4000 balles de plus par an ? Je vais brûler l'Efrei."
21993889,20239475,DAI,M2PRO,Gorki,48.78979211283054,2.367851257160096,1709480075,"Je n'ai pas vu passer l'annonce pour cette conférence."
26907173,20211326,TI,M2,Home,48.78977747432009,2.369274896497131,1706542865,"Qui connaît un bon endroit pour faire du kayak dans le coin ?"
29008435,20246266,BDML,M2PRO,Gorki,48.79037519177573,2.3680480841303666,1727779917,"Le club de cinéma va diffuser une série de films classiques."
22491904,20228593,BDML,M1,Republique,48.789393150020125,2.363541670451233,1729261237,"On a vraiment trop de devoirs en même temps."
21936866,20240493,SWI,M1,Republique,48.78992173212813,2.363748295862477,1729582739,"Le dernier tournoi de football a été remporté par l'équipe des juniors."
28457291,20206138,RS,M2,Home,48.78954641534195,2.369129976951809,1722769251,"On a formé une équipe de basket, tu veux nous rejoindre ?"
21886802,20234721,DAI,M2PRO,Republique,48.789364275841,2.364002759609233,1704873166,"On prévoit un tournoi d'échecs, ça te tente ?"
24627241,20205134,RS,M1,Gorki,48.7902429506558,2.3683850367774077,1724492266,"Je pense que j'ai raté un truc important en séchant le cours."
26947494,20236682,CSIG,M1,Republique,48.788878101555746,2.3634337651580943,1729577876,"On doit vraiment apprendre tous ces algorithmes par cœur ?"
